Student,Assignment,Activity,Scoring Guide,Nancy Stephenson Score,Angela Ross Score,Active Score
603,829,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
637,865,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,MAPc1
638,866,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc0,MAPc0
640,868,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc1
706,943,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
721,963,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,MAPc3
722,964,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc1
729,971,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
731,973,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
732,974,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
739,982,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
740,983,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
741,984,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
746,989,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,MAPc3
747,990,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
748,991,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
753,996,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,
754,997,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,MAPc2
553,1016,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
780,1026,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc1,MAPc1
802,1049,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc0,MAPc0
804,1051,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
806,1053,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,MAPc2
820,1068,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc2,MAPc2
825,1073,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
827,1075,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
828,1076,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
834,1082,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc2,MAPc2
835,1083,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
836,1084,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
837,1085,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc0,MAPc0
840,1088,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc1,MAPc1
841,1089,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,
842,1090,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,MAPc1
846,1094,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc3,MAPc2
850,1098,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
851,1099,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
852,1100,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
856,1104,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
892,1141,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
924,1176,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
935,1189,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
937,1191,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
957,1213,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc3,
1026,1285,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1057,1320,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1092,1359,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
1099,1366,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1106,1373,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1109,1376,PSM_Pretest_2020_D(c),Pop.04.2_OE,,MAPc1,MAPc0
1110,1377,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,MAPc3
1111,1378,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1112,1379,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1116,1383,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
1117,1384,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1118,1385,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
1166,1430,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
1170,1434,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1171,1435,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc0,
1177,1448,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
1188,1455,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
1201,1522,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
1203,1524,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc2,
1212,1533,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
1213,1534,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
1214,1535,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1218,1539,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,MAPc1
1219,1540,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
1220,1541,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1227,1550,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
1229,1552,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
1230,1553,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1234,1557,PSM_Pretest_2020_E(c),Pop.04.2_OE,,MAPc3,
1237,1560,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
1238,1561,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1239,1562,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1271,1597,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
1248,1601,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc0,
1279,1606,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc2,
1280,1607,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc1,
1281,1608,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,MAPc3
1282,1609,PSM_Pretest_2020_F,Pop.04.2_OE,,MAPc1,MAPc1
1288,1616,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,
1231,1617,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc0,
511,1618,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1294,1624,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
1296,1626,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc2,
1038,1627,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc3,
1337,1669,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc3,
1366,1698,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc0,
1368,1700,PSM_Pretest_2020_A(c),Pop.04.2_OE,,MAPc1,
1377,1709,PSM_Pretest_2020_C,Pop.04.2_OE,,MAPc1,
1415,1750,PSM_Pretest_2020_B,Pop.04.2_OE,,MAPc3,
